UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW 
100654,"R",815,"R",292,"R",523,"R",4,"R",1,"R",3,"R",5,"R",4,"R",1,"R",697,"R",253,"R",444,"R",8,"R",2,"R",6,"R",0,"R",0,"R",0,"R",80,"R",21,"R",59,"R",0,"R",0,"R",0,"R",5,"R",3,"R",2,"R",16,"R",8,"R",8
100663,"R",4705,"R",1746,"R",2959,"R",8,"R",3,"R",5,"R",261,"R",116,"R",145,"R",857,"R",219,"R",638,"R",143,"R",61,"R",82,"R",5,"R",1,"R",4,"R",3034,"R",1149,"R",1885,"R",147,"R",55,"R",92,"R",48,"R",23,"R",25,"R",202,"R",119,"R",83
100690,"R",159,"R",62,"R",97,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",67,"R",19,"R",48,"R",12,"R",2,"R",10,"R",3,"Z",0,"R",3,"R",68,"R",40,"R",28,"Z",0,"Z",0,"Z",0,"R",9,"R",1,"R",8,"Z",0,"Z",0,"Z",0
100706,"R",1661,"R",903,"R",758,"R",28,"R",15,"R",13,"R",69,"R",31,"R",38,"R",166,"R",72,"R",94,"R",40,"R",16,"R",24,"R",1,"R",1,"R",0,"R",1124,"R",622,"R",502,"R",19,"R",10,"R",9,"R",46,"R",25,"R",21,"R",168,"R",111,"R",57
100724,"R",927,"R",298,"R",629,"R",1,"R",0,"R",1,"R",3,"R",0,"R",3,"R",794,"R",240,"R",554,"R",15,"R",8,"R",7,"R",0,"R",0,"R",0,"R",55,"R",20,"R",35,"R",14,"R",3,"R",11,"R",11,"R",7,"R",4,"R",34,"R",20,"R",14
100751,"R",8397,"R",3596,"R",4801,"R",37,"R",18,"R",19,"R",120,"R",45,"R",75,"R",835,"R",241,"R",594,"R",256,"R",98,"R",158,"R",4,"R",3,"R",1,"R",6545,"R",2877,"R",3668,"R",181,"R",69,"R",112,"R",24,"R",11,"R",13,"R",395,"R",234,"R",161
100760,"R",257,"R",84,"R",173,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",55,"R",14,"R",41,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",200,"R",68,"R",132,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0
100812,"R",784,"R",260,"R",524,"R",11,"R",3,"R",8,"R",5,"R",1,"R",4,"R",81,"R",29,"R",52,"R",15,"R",7,"R",8,"R",1,"Z",0,"R",1,"R",627,"R",208,"R",419,"R",14,"R",2,"R",12,"R",30,"R",10,"R",20,"Z",0,"Z",0,"Z",0
100830,"R",886,"R",301,"R",585,"R",3,"R",1,"R",2,"R",25,"R",7,"R",18,"R",231,"R",63,"R",168,"R",4,"R",2,"R",2,"R",0,"R",0,"R",0,"R",457,"R",173,"R",284,"R",9,"R",4,"R",5,"R",96,"R",23,"R",73,"R",61,"R",28,"R",33
100858,"R",6197,"R",2948,"R",3249,"R",38,"R",14,"R",24,"R",144,"R",75,"R",69,"R",408,"R",168,"R",240,"R",178,"R",81,"R",97,"R",2,"R",1,"R",1,"R",4904,"R",2320,"R",2584,"R",61,"R",18,"R",43,"R",52,"R",27,"R",25,"R",410,"R",244,"R",166
100937,"R",266,"R",139,"R",127,"R",3,"R",2,"R",1,"R",5,"R",4,"R",1,"R",28,"R",12,"R",16,"R",7,"R",4,"R",3,"Z",0,"Z",0,"Z",0,"R",219,"R",115,"R",104,"R",2,"R",1,"R",1,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0
101028,"R",228,"R",78,"R",150,"R",1,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",79,"R",25,"R",54,"R",9,"R",1,"R",8,"R",3,"R",2,"R",1,"R",129,"R",46,"R",83,"R",6,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
101073,"R",73,"R",33,"R",40,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",65,"R",31,"R",34,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",2,"R",3
101116,"R",182,"R",38,"R",144,"R",2,"R",0,"R",2,"R",5,"R",2,"R",3,"R",94,"R",22,"R",72,"R",3,"R",0,"R",3,"R",0,"R",0,"R",0,"R",75,"R",12,"R",63,"R",0,"R",0,"R",0,"R",3,"R",2,"R",1,"R",0,"R",0,"R",0
