,,,,,,,,,,,,Row Labels,Sum of CSAIANT,Sum of CSASIAT,Sum of CSBKAAT,Sum of CSHISPT,Sum of CSNHPIT,Sum of CSWHITT,Sum of CS2MORT,Sum of CSUNKNT,Sum of CSNRALT
Row Labels,Sum of CSTOTLM,Sum of CSTOTLW,,,,,,,,,,2017,"29,901","269,220","535,670","703,691","12,909","2,509,026","127,614","205,695","284,995"
2017,"1,934,762","2,743,959",,,,,,,,,,2018,"29,501","282,361","533,320","737,464","12,907","2,499,315","137,445","193,780","294,889"
2018,"1,950,100","2,770,882",,,,,,,,,,2019,"29,054","292,310","531,566","772,471","12,637","2,490,359","146,683","197,957","292,219"
2019,"1,956,742","2,808,514",,,,,,,,,,2020,"27,674","299,096","521,032","792,818","12,141","2,448,116","153,966","195,233","294,024"
2020,"1,931,265","2,812,835",,,,,,,,,,2021,"28,195","311,923","548,142","837,864","12,304","2,458,024","161,198","204,257","281,741"
2021,"1,926,645","2,917,003",,,,,,,,,,2022,"28,306","323,784","550,276","859,806","12,451","2,413,360","166,483","206,596","258,720"
2022,"1,908,552","2,911,230",,,,,,,,,,2023,"28,492","325,817","542,631","876,695","11,735","2,354,699","171,433","202,049","302,078"
2023,"1,930,232","2,885,397",,,,,,,,,,Grand Total,"201,123","2,104,511","3,762,637","5,580,809","87,084","17,172,899","1,064,822","1,405,567","2,008,666"
Grand Total,"13,538,298","19,849,820",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of CSAIANM,Sum of CSAIANW,,,,,,,,,,,,,,,,,,,
2017,"11,672","18,229",,,,,,,,,,,,,,,,,,,
2018,"11,442","18,059",,,,,,,,,,,,,,,,,,,
2019,"10,868","18,186",,,,,,,,,,,,,,,,,,,
2020,"10,276","17,398",,,,,,,,,,,,,,,,,,,
2021,"10,012","18,183",,,,,,,,,,,,,,,,,,,
