UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW 
100654,"R",896,"R",294,"R",602,"R",0,"R",0,"R",0,"R",5,"R",2,"R",3,"R",757,"R",253,"R",504,"R",9,"R",3,"R",6,"R",2,"R",1,"R",1,"R",41,"R",9,"R",32,"R",7,"R",3,"R",4,"R",56,"R",14,"R",42,"R",19,"R",9,"R",10
100663,"R",5725,"R",2015,"R",3710,"R",11,"R",3,"R",8,"R",341,"R",126,"R",215,"R",1034,"R",248,"R",786,"R",208,"R",70,"R",138,"R",3,"R",2,"R",1,"R",3558,"R",1297,"R",2261,"R",169,"R",60,"R",109,"R",77,"R",28,"R",49,"R",324,"R",181,"R",143
100690,"R",128,"R",46,"R",82,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",78,"R",18,"R",60,"R",1,"R",1,"Z",0,"R",2,"R",1,"R",1,"R",42,"R",22,"R",20,"Z",0,"Z",0,"Z",0,"R",4,"R",3,"R",1,"Z",0,"Z",0,"Z",0
100706,"R",2209,"R",1092,"R",1117,"R",30,"R",17,"R",13,"R",82,"R",38,"R",44,"R",165,"R",53,"R",112,"R",89,"R",46,"R",43,"R",2,"R",1,"R",1,"R",1583,"R",791,"R",792,"R",38,"R",14,"R",24,"R",91,"R",46,"R",45,"R",129,"R",86,"R",43
100724,"R",708,"R",243,"R",465,"R",3,"R",0,"R",3,"R",5,"R",2,"R",3,"R",610,"R",209,"R",401,"R",6,"R",3,"R",3,"R",0,"R",0,"R",0,"R",49,"R",14,"R",35,"R",9,"R",3,"R",6,"R",7,"R",2,"R",5,"R",19,"R",10,"R",9
100751,"R",9431,"R",3947,"R",5484,"R",36,"R",17,"R",19,"R",112,"R",52,"R",60,"R",934,"R",279,"R",655,"R",455,"R",170,"R",285,"R",16,"R",5,"R",11,"R",7249,"R",3083,"R",4166,"R",249,"R",76,"R",173,"R",59,"R",32,"R",27,"R",321,"R",233,"R",88
100760,"R",451,"R",227,"R",224,"R",2,"R",1,"R",1,"R",5,"R",1,"R",4,"R",86,"R",26,"R",60,"R",11,"R",5,"R",6,"R",1,"R",0,"R",1,"R",338,"R",192,"R",146,"R",4,"R",1,"R",3,"R",1,"R",0,"R",1,"R",3,"R",1,"R",2
100812,"R",744,"R",220,"R",524,"R",14,"R",6,"R",8,"R",4,"R",3,"R",1,"R",94,"R",26,"R",68,"R",20,"R",6,"R",14,"R",1,"Z",0,"R",1,"R",568,"R",170,"R",398,"R",24,"R",3,"R",21,"R",19,"R",6,"R",13,"Z",0,"Z",0,"Z",0
100830,"R",960,"R",311,"R",649,"R",1,"R",1,"R",0,"R",16,"R",5,"R",11,"R",301,"R",66,"R",235,"R",14,"R",2,"R",12,"R",1,"R",0,"R",1,"R",523,"R",191,"R",332,"R",26,"R",7,"R",19,"R",19,"R",9,"R",10,"R",59,"R",30,"R",29
100858,"R",7420,"R",3675,"R",3745,"R",26,"R",14,"R",12,"R",195,"R",101,"R",94,"R",444,"R",189,"R",255,"R",234,"R",96,"R",138,"R",9,"R",3,"R",6,"R",5705,"R",2805,"R",2900,"R",119,"R",52,"R",67,"R",30,"R",18,"R",12,"R",658,"R",397,"R",261
