UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN    
100654,"R",769,"R",276,"R",493,"R",3,"R",3,"R",0,"R",4,"R",1,"R",3,"R",611,"R",224,"R",387,"R",9,"R",5,"R",4,"R",0,"R",0,"R",0,"R",19,"R",9,"R",10,"R",5,"R",1,"R",4,"R",101,"R",23,"R",78,"R",17,"R",10,"R",7,"R",1,"A",,"R",1,"R",1,"A",,"R",1,"R",2,"A",,"R",2,"R",767
100663,"R",6035,"R",2051,"R",3984,"R",11,"R",3,"R",8,"R",391,"R",163,"R",228,"R",1132,"R",317,"R",815,"R",203,"R",73,"R",130,"R",2,"R",0,"R",2,"R",3679,"R",1227,"R",2452,"R",194,"R",62,"R",132,"R",120,"R",39,"R",81,"R",303,"R",167,"R",136,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",6035
100690,"R",201,"R",69,"R",132,"R",2,"R",1,"R",1,"R",2,"R",1,"R",1,"R",118,"R",19,"R",99,"R",6,"R",4,"R",2,"Z",0,"Z",0,"Z",0,"R",69,"R",42,"R",27,"Z",0,"Z",0,"Z",0,"R",4,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",201
100706,"R",2248,"R",1175,"R",1073,"R",10,"R",3,"R",7,"R",85,"R",47,"R",38,"R",197,"R",62,"R",135,"R",87,"R",42,"R",45,"R",3,"R",2,"R",1,"R",1607,"R",884,"R",723,"R",49,"R",26,"R",23,"R",116,"R",54,"R",62,"R",94,"R",55,"R",39,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",2248
100724,"R",625,"R",202,"R",423,"R",1,"Z",0,"R",1,"R",2,"R",1,"R",1,"R",540,"R",169,"R",371,"R",10,"R",6,"R",4,"Z",0,"Z",0,"Z",0,"R",48,"R",17,"R",31,"R",4,"R",2,"R",2,"R",6,"R",1,"R",5,"R",14,"R",6,"R",8,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",625
100751,"R",9106,"R",3686,"R",5420,"R",30,"R",10,"R",20,"R",125,"R",48,"R",77,"R",874,"R",243,"R",631,"R",422,"R",129,"R",293,"R",9,"R",7,"R",2,"R",6979,"R",2876,"R",4103,"R",280,"R",101,"R",179,"R",64,"R",35,"R",29,"R",323,"R",237,"R",86,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",9106
100760,"R",352,"R",134,"R",218,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",60,"R",12,"R",48,"R",10,"R",3,"R",7,"R",0,"R",0,"R",0,"R",271,"R",115,"R",156,"R",5,"R",4,"R",1,"R",2,"R",0,"R",2,"R",2,"R",0,"R",2,"R",0,"A",,"R",0,"Z",0,"A",,"Z",0,"R",0,"A",,"R",0,"R",352
100812,"R",834,"R",256,"R",578,"R",11,"R",3,"R",8,"R",2,"Z",0,"R",2,"R",112,"R",30,"R",82,"R",27,"R",10,"R",17,"Z",0,"Z",0,"Z",0,"R",642,"R",202,"R",440,"R",21,"R",3,"R",18,"R",19,"R",8,"R",11,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",834
100830,"R",998,"R",344,"R",654,"R",4,"R",3,"R",1,"R",21,"R",7,"R",14,"R",383,"R",91,"R",292,"R",13,"R",6,"R",7,"R",1,"R",0,"R",1,"R",444,"R",167,"R",277,"R",22,"R",6,"R",16,"R",24,"R",6,"R",18,"R",86,"R",58,"R",28,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",998
100858,"R",7693,"R",3734,"R",3959,"R",23,"R",11,"R",12,"R",183,"R",88,"R",95,"R",414,"R",184,"R",230,"R",279,"R",130,"R",149,"R",3,"R",1,"R",2,"R",5852,"R",2735,"R",3117,"R",184,"R",86,"R",98,"R",24,"R",13,"R",11,"R",731,"R",486,"R",245,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",7693
100937,"R",263,"R",107,"R",156,"R",2,"R",1,"R",1,"R",6,"R",2,"R",4,"R",39,"R",14,"R",25,"R",6,"R",3,"R",3,"R",0,"R",0,"R",0,"R",203,"R",83,"R",120,"R",5,"R",2,"R",3,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",263
101028,"R",443,"R",156,"R",287,"R",1,"R",1,"Z",0,"R",8,"R",4,"R",4,"R",155,"R",46,"R",109,"R",15,"R",3,"R",12,"Z",0,"Z",0,"Z",0,"R",207,"R",78,"R",129,"R",42,"R",17,"R",25,"R",15,"R",7,"R",8,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"Z",0,"A",,"Z",0,"R",0,"A",,"R",0,"R",443
101116,"R",93,"R",21,"R",72,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",60,"R",10,"R",50,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",30,"R",11,"R",19,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",93
101143,"R",362,"R",195,"R",167,"R",2,"R",1,"R",1,"R",2,"R",2,"R",0,"R",71,"R",31,"R",40,"R",26,"R",12,"R",14,"R",0,"R",0,"R",0,"R",237,"R",134,"R",103,"R",14,"R",10,"R",4,"R",9,"R",5,"R",4,"R",1,"R",0,"R",1,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",362
101161,"R",1302,"R",553,"R",749,"R",21,"R",8,"R",13,"R",13,"R",4,"R",9,"R",278,"R",111,"R",167,"R",47,"R",16,"R",31,"Z",0,"Z",0,"Z",0,"R",848,"R",364,"R",484,"R",54,"R",23,"R",31,"R",39,"R",27,"R",12,"R",2,"Z",0,"R",2,"R",0,"A",,"R",0,"Z",0,"A",,"Z",0,"R",0,"A",,"R",0,"R",1302
