UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN    
100654,"R",729,"R",241,"R",488,"R",3,"R",0,"R",3,"R",2,"R",1,"R",1,"R",570,"R",189,"R",381,"R",12,"R",8,"R",4,"R",0,"R",0,"R",0,"R",25,"R",8,"R",17,"R",11,"R",3,"R",8,"R",82,"R",21,"R",61,"R",24,"R",11,"R",13,"R",0,"S",,"S",,"R",0,"S",,"S",,"R",0,"S",,"S",,"S",.
100663,"R",6356,"R",2273,"R",4083,"R",12,"R",3,"R",9,"R",408,"R",157,"R",251,"R",1184,"R",313,"R",871,"R",265,"R",90,"R",175,"R",3,"R",2,"R",1,"R",3632,"R",1251,"R",2381,"R",180,"R",71,"R",109,"R",189,"R",79,"R",110,"R",483,"R",307,"R",176,"R",2,"A",,"R",2,"R",0,"A",,"R",0,"R",2,"A",,"R",2,"R",6354
100690,"R",171,"R",77,"R",94,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",94,"R",26,"R",68,"R",6,"R",4,"R",2,"Z",0,"Z",0,"Z",0,"R",62,"R",42,"R",20,"Z",0,"Z",0,"Z",0,"R",9,"R",5,"R",4,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",171
100706,"R",2288,"R",1202,"R",1086,"R",18,"R",8,"R",10,"R",89,"R",45,"R",44,"R",171,"R",57,"R",114,"R",103,"R",56,"R",47,"R",3,"R",2,"R",1,"R",1606,"R",871,"R",735,"R",73,"R",42,"R",31,"R",112,"R",53,"R",59,"R",113,"R",68,"R",45,"R",0,"S",,"S",,"R",0,"S",,"S",,"R",0,"S",,"S",,"S",.
100724,"R",598,"R",202,"R",396,"R",1,"R",0,"R",1,"R",2,"R",1,"R",1,"R",505,"R",162,"R",343,"R",9,"R",6,"R",3,"R",0,"R",0,"R",0,"R",51,"R",16,"R",35,"R",13,"R",7,"R",6,"R",3,"R",2,"R",1,"R",14,"R",8,"R",6,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",598
100751,"R",8929,"R",3573,"R",5356,"R",36,"R",12,"R",24,"R",135,"R",47,"R",88,"R",869,"R",232,"R",637,"R",406,"R",156,"R",250,"R",3,"R",2,"R",1,"R",6838,"R",2802,"R",4036,"R",274,"R",91,"R",183,"R",58,"R",22,"R",36,"R",310,"R",209,"R",101,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",8929
100760,"R",232,"R",69,"R",163,"R",2,"R",2,"R",0,"R",1,"R",0,"R",1,"R",36,"R",7,"R",29,"R",5,"R",3,"R",2,"R",0,"R",0,"R",0,"R",178,"R",52,"R",126,"R",6,"R",4,"R",2,"R",2,"R",1,"R",1,"R",2,"R",0,"R",2,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",232
100812,"R",837,"R",254,"R",583,"R",9,"R",2,"R",7,"R",6,"R",2,"R",4,"R",135,"R",33,"R",102,"R",38,"R",9,"R",29,"R",1,"Z",0,"R",1,"R",608,"R",188,"R",420,"R",22,"R",9,"R",13,"R",14,"R",8,"R",6,"R",4,"R",3,"R",1,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",837
100830,"R",1256,"R",538,"R",718,"R",4,"R",0,"R",4,"R",25,"R",12,"R",13,"R",385,"R",97,"R",288,"R",11,"R",1,"R",10,"R",0,"R",0,"R",0,"R",465,"R",181,"R",284,"R",19,"R",10,"R",9,"R",23,"R",10,"R",13,"R",324,"R",227,"R",97,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",1256
100858,"R",7764,"R",3769,"R",3995,"R",22,"R",12,"R",10,"R",198,"R",97,"R",101,"R",357,"R",134,"R",223,"R",268,"R",128,"R",140,"R",5,"R",1,"R",4,"R",6116,"R",2887,"R",3229,"R",179,"R",90,"R",89,"R",25,"R",19,"R",6,"R",594,"R",401,"R",193,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",7764
